Round,Accuracy (%),Loss
1,58.2,0.7751585096120834
2,55.7,0.8219316452741623
3,58.6,0.864018440246582
4,57.1,0.9060053825378418
5,56.6,0.87873275578022
6,55.5,0.846268430352211
7,54.8,0.8344125151634216
8,56.1,0.8464708030223846
9,55.6,0.8277836591005325
10,58.0,0.8279071152210236
11,57.3,0.8030174523591995
12,58.1,0.7977089434862137
13,58.1,0.8100664019584656
14,58.5,0.8185203969478607
15,58.7,0.7713153809309006
16,58.5,0.7592002749443054
17,59.2,0.7770970165729523
18,59.1,0.7886651456356049
19,59.1,0.7742938101291656
20,60.0,0.7709556221961975
21,59.4,0.852895125746727
22,59.2,0.8667894452810287
23,59.1,0.9526673406362534
24,59.0,0.9344104528427124
25,59.3,1.0134988129138947
26,57.6,1.0117337107658386
27,55.1,1.054874300956726
28,52.9,1.1028467118740082
29,54.5,1.111629158258438
30,45.3,1.1978295147418976
31,46.8,1.1253091990947723
32,50.0,1.1208377182483673
33,49.3,1.1813770830631256
34,45.7,1.2005914151668549
35,49.3,1.1205746233463287
36,33.1,1.222870796918869
37,43.0,1.177684485912323
38,33.8,1.2889888286590576
39,43.1,1.2386265397071838
40,26.6,1.2546394169330597
41,28.3,1.2037196457386017
42,29.5,1.192648470401764
43,36.5,1.1760204434394836
44,30.6,1.1769379377365112
45,28.2,1.1357419788837433
46,29.5,1.1232120990753174
47,23.4,1.212669014930725
48,31.3,1.1736953854560852
49,28.0,1.1787468492984772
50,26.5,1.1696196794509888
51,22.1,1.1722946763038635
52,27.2,1.184664934873581
53,29.6,1.1126490831375122
54,30.5,1.0907037258148193
55,28.3,1.2023002803325653
56,16.5,1.1625370383262634
57,28.0,1.0720279812812805
58,28.2,1.085435003042221
59,27.8,1.0712958574295044
60,17.2,1.1850473284721375
61,11.6,1.3005254566669464
62,18.2,1.0473484694957733
63,13.7,1.1129673719406128
64,9.0,1.2213698327541351
65,11.0,1.1924789249897003
66,8.2,1.2690941989421844
67,9.9,1.2421782612800598
68,10.2,1.2536030411720276
69,8.7,1.2228879630565643
70,9.4,1.2532281577587128
71,8.7,1.3346439003944397
72,9.9,1.3880930542945862
73,10.0,1.4548728168010712
74,9.0,1.4781895577907562
75,8.6,1.4653276801109314
76,8.7,1.4105406701564789
77,9.8,1.417404979467392
78,9.6,1.4715214669704437
79,12.4,1.4347569048404694
80,9.4,1.379422813653946
81,10.0,1.4623368382453918
82,11.1,1.559113085269928
83,8.2,1.5835230350494385
84,8.6,1.5355109870433807
85,9.7,1.6380205750465393
86,10.5,1.6745611727237701
87,14.7,1.6112804412841797
88,14.5,1.5332363843917847
89,17.8,1.5368676483631134
90,16.3,1.5804792642593384
91,14.3,1.5140087306499481
92,11.4,1.4701022505760193
93,10.3,1.5597317516803741
94,8.5,1.6085363626480103
95,10.0,1.5627738237380981
96,9.8,1.439156413078308
97,11.3,1.3238612413406372
98,11.6,1.3506603240966797
99,15.8,1.234185814857483
100,17.0,1.2257784008979797
