Round,Accuracy (%),Loss
1,58.4,0.678331583738327
2,58.4,0.6751333177089691
3,58.4,0.673590637743473
4,58.4,0.6721757799386978
5,58.4,0.6694308072328568
6,58.4,0.6635826230049133
7,58.5,0.6570474803447723
8,58.4,0.6497072353959084
9,58.7,0.6375013366341591
10,71.7,0.6257006227970123
11,69.6,0.6065867617726326
12,78.0,0.5882702618837357
13,77.9,0.5655083507299423
14,78.1,0.5406574606895447
15,80.6,0.5124819315969944
16,80.0,0.4950219728052616
17,82.0,0.4752097465097904
18,81.5,0.4639824256300926
19,82.4,0.4508763663470745
20,82.6,0.4393885172903538
21,82.4,0.43587783724069595
22,83.8,0.4238198287785053
23,83.6,0.4186688922345638
24,83.7,0.41105539351701736
25,84.1,0.4034648761153221
26,84.1,0.4023760035634041
27,84.8,0.3939117528498173
28,84.7,0.3909377008676529
29,84.9,0.38657207414507866
30,85.3,0.3814166411757469
31,85.0,0.37898081727325916
32,85.2,0.3728669788688421
33,85.6,0.36799698136746883
34,85.6,0.3647473193705082
35,86.1,0.35840061865746975
36,86.2,0.35194016620516777
37,86.2,0.34747244231402874
38,86.3,0.3416335768997669
39,86.3,0.3370784968137741
40,87.1,0.329443397000432
41,87.5,0.3227742202579975
42,87.5,0.31947658956050873
43,88.7,0.3110523670911789
44,88.7,0.3066124636679888
45,88.8,0.30052844248712063
46,89.1,0.29494992457330227
47,89.8,0.2896255701780319
48,89.9,0.2855357639491558
49,90.0,0.2827752474695444
50,90.0,0.2762584425508976
51,90.0,0.2750447615981102
52,90.1,0.2703715655952692
53,90.3,0.26704620383679867
54,90.2,0.26470353081822395
55,90.3,0.25972594134509563
56,90.5,0.2593288756906986
57,90.7,0.256438909098506
58,90.6,0.2541737165302038
59,90.9,0.25047814659774303
60,91.1,0.24707531742751598
61,91.3,0.24758228659629822
62,91.3,0.24377545341849327
63,91.3,0.24514678306877613
64,91.4,0.23924680799245834
65,91.3,0.23684369027614594
66,91.6,0.23923277109861374
67,91.5,0.2338433898985386
68,91.6,0.23269909247756004
69,92.0,0.23096748068928719
70,91.7,0.22792642936110497
71,92.0,0.22919311374425888
72,92.0,0.2243804670870304
73,91.7,0.22728166356682777
74,92.2,0.222141832113266
75,92.3,0.2205588798969984
76,92.3,0.22192955575883389
77,92.5,0.2166380900889635
78,92.3,0.22051684372127056
79,92.5,0.21466004103422165
80,92.2,0.21415294148027897
81,92.3,0.21578548476099968
82,92.6,0.2099953144788742
83,92.4,0.2114038374274969
84,93.0,0.2081302497535944
85,92.7,0.20755930617451668
86,92.9,0.20813546888530254
87,93.0,0.2044988088309765
88,92.8,0.20688966754823923
89,93.2,0.20010862778872252
90,93.1,0.20064907986670732
91,93.1,0.20236057695001364
92,93.3,0.1968722576275468
93,93.1,0.19934068713337183
94,93.2,0.19464382529258728
95,93.4,0.19616136699914932
96,93.5,0.193780105561018
97,93.6,0.19171619601547718
98,93.5,0.19594044983386993
99,93.9,0.1882869927212596
100,93.8,0.1920202299952507
