round,client_id,accuracy,loss
1,0,64.51612903225806,0.8806338508923849
2,0,67.74193548387096,0.7692460070053736
3,0,77.41935483870968,0.7041485408941904
4,0,75.26881720430107,0.6708551359673341
5,0,76.34408602150538,0.6067052558064461
