Round,Accuracy (%),Loss
1,37.5,1.1873370579310827
2,46.42857142857143,1.1969873564583915
3,46.42857142857143,1.1868177822657995
4,48.214285714285715,1.1909473878996713
5,46.42857142857143,1.1460286038262504
6,46.42857142857143,1.1238692147391183
7,46.42857142857143,1.1183303594589233
8,58.92857142857143,0.9213208215577262
9,60.714285714285715,0.9167286115033286
10,69.64285714285714,0.8619641235896519
11,69.64285714285714,0.8544903908457074
12,64.28571428571429,0.8186593524047306
13,64.28571428571429,0.8439827135631016
14,71.42857142857143,0.8427027123314994
15,71.42857142857143,0.7953529230185917
16,71.42857142857143,0.788025017295565
17,71.42857142857143,0.7694356994969505
18,66.07142857142857,0.7287188470363617
19,67.85714285714286,0.7400022063936506
20,71.42857142857143,0.7911555979933057
21,66.07142857142857,0.6918243254934039
22,71.42857142857143,0.7308002454893929
23,67.85714285714286,0.688143619469234
24,71.42857142857143,0.7490184775420597
25,69.64285714285714,0.678572667496545
26,69.64285714285714,0.6801388732024601
27,71.42857142857143,0.661112653357642
28,71.42857142857143,0.6560230084827968
29,76.78571428571429,0.6748393518584115
30,75.0,0.7410466905151095
31,76.78571428571429,0.6384639952863965
32,75.0,0.6621804258653096
33,75.0,0.6826615972178323
34,76.78571428571429,0.5776957954679217
35,80.35714285714286,0.5719989729779107
36,80.35714285714286,0.5614692781652723
37,82.14285714285714,0.5758876566376004
38,82.14285714285714,0.5396180748939514
39,82.14285714285714,0.5231544247695378
40,83.92857142857143,0.570410526224545
41,83.92857142857143,0.5147676978792463
42,82.14285714285714,0.5569865043674197
43,82.14285714285714,0.5614197616066251
44,82.14285714285714,0.5976783399071012
45,82.14285714285714,0.5968055565442357
46,83.92857142857143,0.5933169190372739
47,83.92857142857143,0.5878948345780373
48,83.92857142857143,0.6425799152680806
49,83.92857142857143,0.6724999504429954
50,85.71428571428571,0.6364891071404729
